,Manufacturer,Crash,Fire,NumberOfInjured,DateOfIncident,Make
0,Honda (American Honda Motor Co.),Yes,No,2,2018-03-20,ACURA
1,"Volkswagen Group of America, Inc.",Yes,No,0,2017-06-09,AUDI
2,"Volkswagen Group of America, Inc.",Yes,No,1,2018-01-20,AUDI
3,"Volkswagen Group of America, Inc.",Yes,No,0,2017-11-04,AUDI
4,"Volkswagen Group of America, Inc.",Yes,No,0,2018-01-26,AUDI
5,"Volkswagen Group of America, Inc.",Yes,No,0,2017-09-21,AUDI
6,"BMW of North America, LLC",Yes,No,1,2018-02-26,BMW
7,"BMW of North America, LLC",Yes,No,2,2018-02-03,BMW
8,General Motors LLC,Yes,No,0,2017-12-28,CHEVROLET
9,General Motors LLC,Yes,No,0,2017-07-12,CHEVROLET
10,General Motors LLC,Yes,No,0,2018-02-16,CHEVROLET
11,General Motors LLC,Yes,No,0,2018-01-06,CHEVROLET
12,General Motors LLC,Yes,No,3,2018-03-10,CHEVROLET
13,General Motors LLC,Yes,No,0,2017-10-22,CHEVROLET
14,General Motors LLC,Yes,No,0,2018-01-31,GMC
15,Honda (American Honda Motor Co.),No,Yes,0,2018-03-27,HONDA
16,Chrysler (FCA US LLC),No,Yes,0,2017-11-10,JEEP
17,Chrysler (FCA US LLC),No,Yes,0,2018-03-19,JEEP
18,Kia Motors America,Yes,No,2,2018-03-24,KIA
19,"BMW of North America, LLC",Yes,No,0,2018-02-09,MINI
20,"Subaru of America, Inc.",Yes,No,1,2017-09-28,SUBARU
21,Toyota Motor Corporation,Yes,No,1,2017-10-12,TOYOTA
22,Toyota Motor Corporation,Yes,No,0,2018-01-28,TOYOTA
23,Toyota Motor Corporation,Yes,No,0,2017-11-28,TOYOTA
24,Toyota Motor Corporation,Yes,No,0,2017-12-21,TOYOTA
25,"Volkswagen Group of America, Inc.",Yes,No,1,2017-12-19,VOLKSWAGEN
26,Volvo Car USA LLC,Yes,No,0,2018-03-04,VOLVO
27,Honda (American Honda Motor Co.),Yes,No,0,2017-11-11,ACURA
28,Honda (American Honda Motor Co.),Yes,No,0,2017-02-15,ACURA
29,Honda (American Honda Motor Co.),Yes,No,0,2018-01-30,ACURA
30,"Volkswagen Group of America, Inc.",Yes,No,0,2017-04-01,AUDI
31,"Volkswagen Group of America, Inc.",Yes,No,0,2016-11-08,AUDI
32,"Volkswagen Group of America, Inc.",Yes,No,2,2017-09-26,AUDI
33,"Volkswagen Group of America, Inc.",Yes,No,1,2017-09-15,AUDI
34,"Volkswagen Group of America, Inc.",Yes,No,2,2016-08-23,AUDI
35,"Volkswagen Group of America, Inc.",Yes,No,0,2016-10-20,AUDI
36,"BMW of North America, LLC",Yes,No,0,2018-03-11,BMW
37,"BMW of North America, LLC",Yes,No,0,2017-01-28,BMW
38,"BMW of North America, LLC",Yes,No,0,2017-08-19,BMW
39,"BMW of North America, LLC",Yes,No,3,2017-06-29,BMW
40,"BMW of North America, LLC",No,Yes,0,2017-07-19,BMW
41,"BMW of North America, LLC",Yes,No,1,2017-06-17,BMW
42,"BMW of North America, LLC",Yes,No,2,2016-12-20,BMW
43,"BMW of North America, LLC",Yes,No,0,2017-07-22,BMW
44,General Motors LLC,Yes,No,1,2017-02-09,BUICK
45,General Motors LLC,Yes,No,1,2018-03-03,BUICK
46,General Motors LLC,Yes,No,0,2017-11-13,CADILLAC
47,General Motors LLC,Yes,No,0,2018-01-24,CADILLAC
48,General Motors LLC,Yes,No,0,2017-12-14,CADILLAC
49,General Motors LLC,Yes,No,0,2017-02-19,CADILLAC
50,General Motors LLC,Yes,No,0,2016-10-18,CADILLAC
51,General Motors LLC,Yes,No,0,2017-03-20,CADILLAC
52,General Motors LLC,Yes,No,1,2017-09-23,CHEVROLET
53,General Motors LLC,Yes,No,0,2017-11-27,CHEVROLET
54,General Motors LLC,Yes,No,0,2017-06-28,CHEVROLET
55,General Motors LLC,Yes,No,0,2016-12-21,CHEVROLET
56,General Motors LLC,Yes,No,0,2017-04-07,CHEVROLET
57,General Motors LLC,No,Yes,0,2017-05-07,CHEVROLET
58,General Motors LLC,No,Yes,0,2017-12-31,CHEVROLET
59,General Motors LLC,Yes,No,0,2018-02-17,CHEVROLET
60,General Motors LLC,Yes,No,0,2018-02-14,CHEVROLET
61,General Motors LLC,No,Yes,0,2017-07-08,CHEVROLET
62,General Motors LLC,Yes,No,1,2017-11-06,CHEVROLET
63,General Motors LLC,Yes,No,1,2017-01-30,CHEVROLET
64,General Motors LLC,Yes,No,1,2017-07-20,CHEVROLET
65,General Motors LLC,Yes,No,1,2018-03-02,CHEVROLET
66,General Motors LLC,Yes,No,1,2018-03-06,CHEVROLET
67,General Motors LLC,Yes,No,0,2018-01-17,CHEVROLET
68,General Motors LLC,Yes,No,0,2017-05-07,CHEVROLET
69,General Motors LLC,Yes,Yes,0,2017-12-14,CHEVROLET
70,General Motors LLC,Yes,No,1,2017-06-07,CHEVROLET
71,General Motors LLC,Yes,No,0,2017-11-01,CHEVROLET
72,General Motors LLC,No,Yes,0,2018-04-07,CHEVROLET
73,Chrysler (FCA US LLC),Yes,No,0,2017-01-04,CHRYSLER
74,Chrysler (FCA US LLC),Yes,No,0,2017-09-06,CHRYSLER
75,Chrysler (FCA US LLC),Yes,No,0,2017-11-29,CHRYSLER
76,Chrysler (FCA US LLC),Yes,No,0,2017-05-01,CHRYSLER
77,Chrysler (FCA US LLC),No,Yes,0,2018-03-01,CHRYSLER
78,Chrysler (FCA US LLC),Yes,No,0,2018-02-15,CHRYSLER
79,Chrysler (FCA US LLC),Yes,No,1,2018-01-09,CHRYSLER
80,Chrysler (FCA US LLC),Yes,No,0,2017-12-25,CHRYSLER
81,Chrysler (FCA US LLC),Yes,No,0,2017-11-15,CHRYSLER
82,Chrysler (FCA US LLC),No,Yes,0,2018-04-11,CHRYSLER
83,Chrysler (FCA US LLC),Yes,No,0,2017-02-18,CHRYSLER
84,Chrysler (FCA US LLC),Yes,No,1,2017-06-13,CHRYSLER
85,Chrysler (FCA US LLC),Yes,No,0,2017-07-05,CHRYSLER
86,Chrysler (FCA US LLC),Yes,No,0,2017-10-28,DODGE
87,Chrysler (FCA US LLC),Yes,No,0,2017-10-28,DODGE
88,Chrysler (FCA US LLC),No,Yes,0,2017-09-08,DODGE
89,Chrysler (FCA US LLC),Yes,No,0,2017-03-29,DODGE
90,Chrysler (FCA US LLC),Yes,No,1,2017-03-30,DODGE
91,Chrysler (FCA US LLC),Yes,No,0,2017-05-19,DODGE
92,Chrysler (FCA US LLC),No,Yes,0,2017-11-20,DODGE
93,Chrysler (FCA US LLC),Yes,Yes,0,2017-11-14,DODGE
94,Chrysler (FCA US LLC),Yes,No,1,2018-01-10,DODGE
95,Chrysler (FCA US LLC),Yes,No,1,2018-03-07,DODGE
96,Ford Motor Company,Yes,No,2,2017-02-24,FORD
97,Ford Motor Company,Yes,No,1,2017-08-04,FORD
98,Ford Motor Company,Yes,No,1,2017-07-18,FORD
99,Ford Motor Company,Yes,No,3,2017-06-16,FORD
100,Ford Motor Company,Yes,No,0,2017-07-27,FORD
101,Ford Motor Company,No,Yes,0,2017-08-18,FORD
102,Ford Motor Company,Yes,No,1,2017-10-01,FORD
103,Ford Motor Company,No,Yes,0,2017-11-11,FORD
104,Ford Motor Company,Yes,No,3,2017-11-20,FORD
105,Ford Motor Company,Yes,No,1,2017-07-31,FORD
106,Ford Motor Company,Yes,No,1,2017-07-31,FORD
107,Ford Motor Company,Yes,No,1,2017-12-22,FORD
108,Ford Motor Company,Yes,No,0,2017-11-27,FORD
109,Ford Motor Company,Yes,No,1,2018-03-30,FORD
110,Ford Motor Company,Yes,No,3,2017-03-05,FORD
111,Ford Motor Company,Yes,No,0,2017-04-07,FORD
112,Ford Motor Company,Yes,No,4,2016-09-27,FORD
113,Ford Motor Company,No,Yes,0,2017-08-12,FORD
114,Ford Motor Company,Yes,No,0,2017-07-23,FORD
115,Ford Motor Company,Yes,No,1,2017-05-11,FORD
116,Ford Motor Company,Yes,No,1,2017-11-10,FORD
117,Ford Motor Company,Yes,No,1,2017-12-05,FORD
118,Ford Motor Company,Yes,No,2,2017-09-22,FORD
119,Ford Motor Company,Yes,No,0,2018-01-12,FORD
120,Ford Motor Company,Yes,No,0,2018-01-28,FORD
121,Ford Motor Company,Yes,No,0,2018-01-30,FORD
122,Ford Motor Company,Yes,No,4,2016-09-09,FORD
123,Ford Motor Company,No,Yes,0,2017-04-04,FORD
124,Ford Motor Company,Yes,No,1,2017-06-30,FORD
125,Ford Motor Company,Yes,No,0,2017-08-04,FORD
126,Ford Motor Company,Yes,No,1,2017-10-03,FORD
127,Ford Motor Company,Yes,No,1,2018-01-09,FORD
128,Ford Motor Company,Yes,No,1,2017-07-31,FORD
129,Ford Motor Company,Yes,No,0,2017-11-14,FORD
130,Ford Motor Company,Yes,No,1,2017-11-14,FORD
131,Ford Motor Company,Yes,No,1,2018-03-25,FORD
132,Ford Motor Company,Yes,No,1,2017-01-19,FORD
133,Ford Motor Company,Yes,No,2,2016-09-28,FORD
134,Ford Motor Company,Yes,No,1,2017-06-25,FORD
135,Ford Motor Company,Yes,Yes,1,2017-10-07,FORD
136,Ford Motor Company,Yes,No,0,2017-12-14,FORD
137,Ford Motor Company,Yes,No,0,2017-12-13,FORD
138,Ford Motor Company,Yes,No,1,2018-02-22,FORD
139,Ford Motor Company,Yes,No,1,2017-07-23,FORD
140,Ford Motor Company,No,Yes,1,2017-10-25,FORD
141,Daimler Trucks North America LLC,Yes,No,2,2016-10-23,FREIGHTLINER
142,General Motors LLC,No,Yes,0,2017-11-14,GMC
143,General Motors LLC,Yes,No,1,2018-02-12,GMC
144,General Motors LLC,Yes,No,0,2017-01-05,GMC
145,General Motors LLC,Yes,No,0,2018-03-06,GMC
146,General Motors LLC,Yes,No,1,2018-03-01,GMC
147,General Motors LLC,Yes,No,0,2018-03-15,GMC
148,General Motors LLC,No,Yes,0,2018-03-09,GMC
149,"Heartland Recreational Vehicles, LLC",No,Yes,0,2016-10-02,HEARTLAND
150,"Heartland Recreational Vehicles, LLC",No,Yes,0,2016-08-12,HEARTLAND
151,Honda (American Honda Motor Co.),Yes,No,1,2018-03-30,HONDA
152,Honda (American Honda Motor Co.),Yes,No,0,2017-10-20,HONDA
153,Honda (American Honda Motor Co.),Yes,No,2,2017-11-29,HONDA
154,Honda (American Honda Motor Co.),No,Yes,0,2017-01-28,HONDA
155,Honda (American Honda Motor Co.),Yes,No,0,2017-12-23,HONDA
156,Honda (American Honda Motor Co.),No,Yes,0,2018-02-18,HONDA
157,Honda (American Honda Motor Co.),Yes,No,0,2017-03-07,HONDA
158,Honda (American Honda Motor Co.),Yes,No,0,2017-07-03,HONDA
159,Honda (American Honda Motor Co.),Yes,No,0,2016-12-10,HONDA
160,Honda (American Honda Motor Co.),Yes,No,1,2017-10-31,HONDA
161,Honda (American Honda Motor Co.),Yes,No,0,2017-12-27,HONDA
162,Honda (American Honda Motor Co.),Yes,No,1,2018-01-15,HONDA
163,Honda (American Honda Motor Co.),Yes,No,0,2018-02-22,HONDA
164,Honda (American Honda Motor Co.),Yes,No,0,2018-03-18,HONDA
165,Honda (American Honda Motor Co.),Yes,No,1,2017-02-28,HONDA
166,Honda (American Honda Motor Co.),Yes,No,0,2017-04-22,HONDA
167,Honda (American Honda Motor Co.),Yes,No,0,2017-04-23,HONDA
168,Honda (American Honda Motor Co.),Yes,No,0,2017-07-01,HONDA
169,Honda (American Honda Motor Co.),Yes,No,0,2017-08-11,HONDA
170,Honda (American Honda Motor Co.),Yes,No,1,2016-12-28,HONDA
171,Honda (American Honda Motor Co.),Yes,No,0,2018-02-07,HONDA
172,Hyundai Motor America,Yes,No,1,2017-08-22,HYUNDAI
173,Hyundai Motor America,Yes,No,0,2017-06-13,HYUNDAI
174,Hyundai Motor America,Yes,No,1,2017-04-08,HYUNDAI
175,Hyundai Motor America,Yes,No,0,2017-07-17,HYUNDAI
176,Hyundai Motor America,Yes,No,0,2017-12-08,HYUNDAI
177,Hyundai Motor America,Yes,No,0,2018-01-08,HYUNDAI
178,Hyundai Motor America,Yes,No,1,2018-02-21,HYUNDAI
179,Hyundai Motor America,Yes,No,1,2018-02-28,HYUNDAI
180,Hyundai Motor America,Yes,No,1,2018-03-12,HYUNDAI
181,Hyundai Motor America,Yes,No,0,2018-04-03,HYUNDAI
182,Hyundai Motor America,Yes,No,1,2018-04-23,HYUNDAI
183,Hyundai Motor America,Yes,No,0,2017-01-21,HYUNDAI
184,Hyundai Motor America,Yes,No,0,2017-09-19,HYUNDAI
185,Hyundai Motor America,Yes,No,0,2017-10-15,HYUNDAI
186,Hyundai Motor America,Yes,No,0,2017-10-15,HYUNDAI
187,Hyundai Motor America,Yes,No,0,2017-11-14,HYUNDAI
188,Hyundai Motor America,Yes,No,0,2017-03-26,HYUNDAI
189,Hyundai Motor America,Yes,No,0,2017-09-16,HYUNDAI
190,Hyundai Motor America,Yes,No,0,2017-06-23,HYUNDAI
191,Hyundai Motor America,Yes,No,1,2017-08-26,HYUNDAI
192,Hyundai Motor America,No,Yes,0,2017-10-23,HYUNDAI
193,Hyundai Motor America,Yes,No,1,2018-02-09,HYUNDAI
194,Hyundai Motor America,Yes,No,1,2017-03-09,HYUNDAI
195,"Nissan North America, Inc.",Yes,No,0,2017-12-12,INFINITI
196,JAGUAR CARS LTD,Yes,No,0,2017-03-07,JAGUAR
197,Chrysler (FCA US LLC),Yes,No,1,2017-07-06,JEEP
198,Chrysler (FCA US LLC),No,Yes,1,2018-02-21,JEEP
199,Chrysler (FCA US LLC),Yes,No,1,2017-08-28,JEEP
200,Chrysler (FCA US LLC),Yes,No,0,2017-05-09,JEEP
201,Chrysler (FCA US LLC),Yes,No,1,2017-08-06,JEEP
202,Chrysler (FCA US LLC),Yes,No,0,2018-02-10,JEEP
203,Chrysler (FCA US LLC),Yes,No,1,2018-01-17,JEEP
204,Chrysler (FCA US LLC),Yes,No,0,2018-01-28,JEEP
205,Chrysler (FCA US LLC),Yes,No,0,2017-07-01,JEEP
206,Chrysler (FCA US LLC),Yes,No,0,2017-09-11,JEEP
207,Chrysler (FCA US LLC),No,Yes,0,2017-10-16,JEEP
208,Chrysler (FCA US LLC),Yes,No,1,2017-10-30,JEEP
209,Chrysler (FCA US LLC),Yes,No,0,2018-01-11,JEEP
210,Chrysler (FCA US LLC),Yes,No,1,2018-01-30,JEEP
211,Chrysler (FCA US LLC),No,Yes,0,2018-03-11,JEEP
212,Chrysler (FCA US LLC),No,Yes,0,2018-02-16,JEEP
213,Chrysler (FCA US LLC),Yes,No,1,2018-03-07,JEEP
214,Chrysler (FCA US LLC),No,Yes,0,2017-07-21,JEEP
215,Chrysler (FCA US LLC),No,Yes,0,2016-09-01,JEEP
216,Kia Motors America,Yes,No,1,2017-12-27,KIA
217,Kia Motors America,Yes,No,2,2018-03-11,KIA
218,Kia Motors America,Yes,No,1,2018-04-07,KIA
219,Kia Motors America,Yes,No,0,2017-04-12,KIA
220,Kia Motors America,Yes,No,0,2016-10-31,KIA
221,Kia Motors America,No,Yes,0,2017-10-09,KIA
222,Kia Motors America,Yes,No,0,2017-09-08,KIA
223,Kia Motors America,Yes,No,0,2018-03-13,KIA
224,Kia Motors America,No,Yes,0,2017-07-05,KIA
225,Kia Motors America,Yes,No,1,2018-02-09,KIA
226,Kia Motors America,Yes,No,0,2016-04-11,KIA
227,Kia Motors America,No,Yes,0,2017-01-04,KIA
228,Toyota Motor Corporation,Yes,No,1,2017-10-23,LEXUS
229,Toyota Motor Corporation,Yes,No,0,2017-09-21,LEXUS
230,Toyota Motor Corporation,Yes,No,1,2017-02-12,LEXUS
231,Toyota Motor Corporation,Yes,No,0,2017-06-09,LEXUS
232,Toyota Motor Corporation,Yes,No,0,2017-11-12,LEXUS
233,Toyota Motor Corporation,Yes,No,0,2018-01-16,LEXUS
234,Toyota Motor Corporation,Yes,No,0,2018-03-05,LEXUS
235,Toyota Motor Corporation,Yes,No,1,2018-01-25,LEXUS
236,Toyota Motor Corporation,Yes,No,1,2017-05-20,LEXUS
237,Toyota Motor Corporation,Yes,No,0,2017-02-24,LEXUS
238,Toyota Motor Corporation,Yes,No,0,2017-04-17,LEXUS
239,Ford Motor Company,No,Yes,0,2017-06-27,LINCOLN
240,Ford Motor Company,Yes,No,0,2017-07-06,LINCOLN
241,"BMW of North America, LLC",Yes,No,0,2017-10-28,MINI
242,"Mitsubishi Motors North America, Inc.",Yes,No,2,2017-12-30,MITSUBISHI
243,"Mitsubishi Motors North America, Inc.",Yes,No,0,2017-09-15,MITSUBISHI
244,"Mitsubishi Motors North America, Inc.",Yes,No,1,2017-11-18,MITSUBISHI
245,"Nissan North America, Inc.",Yes,No,0,2017-11-14,NISSAN
246,"Nissan North America, Inc.",No,Yes,0,2018-04-18,NISSAN
247,"Nissan North America, Inc.",Yes,No,0,2018-01-11,NISSAN
248,"Nissan North America, Inc.",Yes,No,1,2017-11-20,NISSAN
249,"Nissan North America, Inc.",Yes,No,0,2017-11-13,NISSAN
250,"Nissan North America, Inc.",Yes,No,1,2018-04-16,NISSAN
251,"Nissan North America, Inc.",Yes,No,0,2017-11-10,NISSAN
252,"Nissan North America, Inc.",Yes,No,1,2017-11-21,NISSAN
253,"Nissan North America, Inc.",Yes,No,0,2018-02-14,NISSAN
254,"Nissan North America, Inc.",Yes,No,0,2017-10-18,NISSAN
255,"Nissan North America, Inc.",Yes,No,1,2018-04-12,NISSAN
256,"Nissan North America, Inc.",No,Yes,3,2017-03-24,NISSAN
257,"Nissan North America, Inc.",Yes,No,0,2017-02-11,NISSAN
258,"Nissan North America, Inc.",Yes,No,1,2017-07-21,NISSAN
259,"Nissan North America, Inc.",Yes,No,1,2017-12-27,NISSAN
260,"Nissan North America, Inc.",Yes,No,1,2017-02-17,NISSAN
261,"Nissan North America, Inc.",Yes,No,1,2017-07-07,NISSAN
262,"Nissan North America, Inc.",Yes,No,0,2017-09-07,NISSAN
263,"Nissan North America, Inc.",Yes,No,0,2017-11-09,NISSAN
264,"Nissan North America, Inc.",No,Yes,1,2017-02-03,NISSAN
265,"Nissan North America, Inc.",Yes,No,0,2017-10-24,NISSAN
266,"Nissan North America, Inc.",Yes,No,1,2017-08-13,NISSAN
267,"Polaris Industries, Inc.",No,Yes,0,2017-09-29,POLARIS
268,"Porsche Cars North America, Inc.",Yes,No,0,2017-11-22,PORSCHE
269,Chrysler (FCA US LLC),Yes,No,0,2017-09-07,RAM
270,Chrysler (FCA US LLC),Yes,No,0,2017-11-02,RAM
271,Chrysler (FCA US LLC),Yes,No,1,2017-11-05,RAM
272,Chrysler (FCA US LLC),Yes,No,0,2017-10-21,RAM
273,Chrysler (FCA US LLC),Yes,No,3,2017-12-18,RAM
274,Chrysler (FCA US LLC),Yes,No,1,2018-01-18,RAM
275,Chrysler (FCA US LLC),Yes,No,0,2018-01-29,RAM
276,Chrysler (FCA US LLC),Yes,No,0,2017-12-08,RAM
277,Chrysler (FCA US LLC),Yes,No,1,2018-03-02,RAM
278,Chrysler (FCA US LLC),Yes,No,3,2018-04-07,RAM
279,Chrysler (FCA US LLC),Yes,No,1,2017-05-30,RAM
280,Chrysler (FCA US LLC),Yes,No,0,2017-07-11,RAM
281,Chrysler (FCA US LLC),Yes,No,0,2017-08-04,RAM
282,Chrysler (FCA US LLC),Yes,No,0,2017-08-16,RAM
283,Chrysler (FCA US LLC),No,Yes,0,2017-04-01,RAM
284,Chrysler (FCA US LLC),Yes,No,1,2017-08-06,RAM
285,Chrysler (FCA US LLC),Yes,No,0,2017-02-17,RAM
286,"Subaru of America, Inc.",No,Yes,3,2017-06-16,SUBARU
287,"Subaru of America, Inc.",Yes,No,1,2018-02-20,SUBARU
288,"Subaru of America, Inc.",Yes,No,1,2018-03-29,SUBARU
289,"Subaru of America, Inc.",No,Yes,0,2017-02-06,SUBARU
290,"Subaru of America, Inc.",Yes,No,1,2017-05-03,SUBARU
291,"Subaru of America, Inc.",Yes,No,1,2016-10-23,SUBARU
292,"Subaru of America, Inc.",Yes,No,1,2017-10-22,SUBARU
293,"Subaru of America, Inc.",Yes,Yes,0,2017-08-09,SUBARU
294,"Subaru of America, Inc.",Yes,No,0,2017-05-25,SUBARU
295,"Subaru of America, Inc.",Yes,No,0,2017-04-18,SUBARU
296,"Subaru of America, Inc.",Yes,No,1,2017-08-20,SUBARU
297,"Subaru of America, Inc.",Yes,No,1,2017-09-09,SUBARU
298,"Subaru of America, Inc.",Yes,No,0,2016-11-29,SUBARU
299,"Subaru of America, Inc.",Yes,No,1,2017-06-08,SUBARU
300,"Subaru of America, Inc.",Yes,No,0,2018-03-14,SUBARU
301,Toyota Motor Corporation,Yes,No,1,2017-10-02,TOYOTA
302,Toyota Motor Corporation,Yes,No,0,2017-07-31,TOYOTA
303,Toyota Motor Corporation,Yes,No,1,2017-11-04,TOYOTA
304,Toyota Motor Corporation,Yes,No,1,2017-12-13,TOYOTA
305,Toyota Motor Corporation,Yes,No,1,2017-10-24,TOYOTA
306,Toyota Motor Corporation,Yes,No,2,2017-01-25,TOYOTA
307,Toyota Motor Corporation,Yes,No,0,2017-06-25,TOYOTA
308,Toyota Motor Corporation,Yes,No,0,2017-08-04,TOYOTA
309,Toyota Motor Corporation,Yes,No,0,2017-11-13,TOYOTA
310,Toyota Motor Corporation,Yes,No,1,2018-02-28,TOYOTA
311,Toyota Motor Corporation,Yes,No,1,2017-10-22,TOYOTA
312,Toyota Motor Corporation,Yes,No,0,2017-04-29,TOYOTA
313,Toyota Motor Corporation,Yes,No,0,2017-07-22,TOYOTA
314,Toyota Motor Corporation,Yes,No,2,2017-03-22,TOYOTA
315,Toyota Motor Corporation,Yes,No,0,2017-05-04,TOYOTA
316,Toyota Motor Corporation,Yes,No,0,2017-06-17,TOYOTA
317,Toyota Motor Corporation,Yes,No,0,2017-11-23,TOYOTA
318,Toyota Motor Corporation,Yes,No,0,2017-11-23,TOYOTA
319,Toyota Motor Corporation,Yes,No,2,2017-12-12,TOYOTA
320,Toyota Motor Corporation,Yes,No,0,2017-11-11,TOYOTA
321,Toyota Motor Corporation,No,Yes,1,2017-03-22,TOYOTA
322,Toyota Motor Corporation,Yes,No,0,2017-08-13,TOYOTA
323,Toyota Motor Corporation,Yes,No,0,2016-12-13,TOYOTA
324,Toyota Motor Corporation,Yes,No,1,2017-08-10,TOYOTA
325,Toyota Motor Corporation,Yes,No,0,2017-07-05,TOYOTA
326,Toyota Motor Corporation,Yes,No,0,2017-07-08,TOYOTA
327,Toyota Motor Corporation,Yes,No,2,2017-07-29,TOYOTA
328,Toyota Motor Corporation,Yes,No,0,2017-02-16,TOYOTA
329,Toyota Motor Corporation,No,Yes,0,2018-02-17,TOYOTA
330,Toyota Motor Corporation,Yes,No,0,2017-12-09,TOYOTA
331,Toyota Motor Corporation,Yes,No,0,2017-01-12,TOYOTA
332,Toyota Motor Corporation,Yes,No,1,2017-03-13,TOYOTA
333,Toyota Motor Corporation,No,Yes,0,2016-08-03,TOYOTA
334,Toyota Motor Corporation,Yes,No,1,2017-10-31,TOYOTA
335,Toyota Motor Corporation,Yes,No,0,2016-10-23,TOYOTA
336,"Volkswagen Group of America, Inc.",Yes,No,1,2017-10-17,VOLKSWAGEN
337,"Volkswagen Group of America, Inc.",Yes,No,1,2017-06-21,VOLKSWAGEN
338,"Volkswagen Group of America, Inc.",Yes,No,1,2017-11-13,VOLKSWAGEN
339,"Volkswagen Group of America, Inc.",Yes,No,1,2018-01-12,VOLKSWAGEN
340,"Volkswagen Group of America, Inc.",Yes,No,0,2017-12-06,VOLKSWAGEN
341,"Volkswagen Group of America, Inc.",Yes,No,2,2018-04-06,VOLKSWAGEN
342,"Volkswagen Group of America, Inc.",Yes,No,0,2017-06-12,VOLKSWAGEN
343,"Volkswagen Group of America, Inc.",Yes,No,1,2018-04-16,VOLKSWAGEN
344,Volvo Car USA LLC,Yes,No,0,2017-04-11,VOLVO
345,Volvo Car USA LLC,No,Yes,0,2018-01-23,VOLVO
346,Volvo Car USA LLC,Yes,No,0,2017-08-23,VOLVO
347,"Winnebago Industries, Inc",No,Yes,0,2018-01-17,WINNEBAGO
348,Honda (American Honda Motor Co.),Yes,No,2,2016-09-25,ACURA
349,Honda (American Honda Motor Co.),Yes,No,0,2015-08-29,ACURA
350,Honda (American Honda Motor Co.),Yes,No,0,2017-12-20,ACURA
351,Honda (American Honda Motor Co.),No,Yes,0,2016-05-27,ACURA
352,Honda (American Honda Motor Co.),Yes,No,2,2017-12-04,ACURA
353,Honda (American Honda Motor Co.),Yes,No,1,2016-06-23,ACURA
354,Honda (American Honda Motor Co.),Yes,No,1,2016-09-19,ACURA
355,"ALUMA TOWER COMPANY, INC",No,Yes,0,2015-04-28,ALUMA
356,"Volkswagen Group of America, Inc.",No,Yes,0,2016-07-25,AUDI
357,"Volkswagen Group of America, Inc.",Yes,No,0,2016-10-03,AUDI
358,"Volkswagen Group of America, Inc.",Yes,No,0,2016-09-07,AUDI
359,"Volkswagen Group of America, Inc.",Yes,No,0,2016-02-11,AUDI
360,"Volkswagen Group of America, Inc.",Yes,No,0,2016-06-30,AUDI
361,"Volkswagen Group of America, Inc.",Yes,No,0,2016-11-05,AUDI
362,"Volkswagen Group of America, Inc.",No,Yes,0,2016-12-15,AUDI
363,The RV Factory LLC,No,Yes,0,2016-03-17,AVION
364,"BMW of North America, LLC",No,Yes,0,2017-02-02,BMW
365,"BMW of North America, LLC",Yes,No,0,2016-12-02,BMW
366,"BMW of North America, LLC",Yes,No,2,2018-02-14,BMW
367,"BMW of North America, LLC",Yes,No,0,2018-01-13,BMW
368,"BMW of North America, LLC",Yes,No,1,2016-04-20,BMW
369,"BMW of North America, LLC",Yes,No,1,2017-03-27,BMW
370,"BMW of North America, LLC",Yes,No,0,2017-05-13,BMW
371,"BMW of North America, LLC",Yes,No,1,2017-12-20,BMW
372,"BMW of North America, LLC",Yes,No,0,2016-07-14,BMW
373,"BMW of North America, LLC",Yes,No,0,2017-10-05,BMW
374,"BMW of North America, LLC",No,Yes,0,2017-05-31,BMW
375,"BMW of North America, LLC",Yes,No,0,2015-12-29,BMW
376,"BMW of North America, LLC",Yes,No,0,2017-09-07,BMW
377,"BMW of North America, LLC",Yes,No,0,2017-12-29,BMW
378,"BMW of North America, LLC",Yes,No,0,2017-01-23,BMW
379,"BMW of North America, LLC",Yes,No,0,2017-05-10,BMW
380,"BMW of North America, LLC",Yes,No,0,2016-11-18,BMW
381,"BMW of North America, LLC",Yes,No,0,2018-03-17,BMW
382,"BMW of North America, LLC",Yes,No,0,2017-01-28,BMW
383,General Motors LLC,Yes,No,2,2018-03-07,BUICK
384,General Motors LLC,Yes,No,0,2017-02-25,BUICK
385,General Motors LLC,Yes,No,4,2016-10-09,BUICK
386,General Motors LLC,Yes,No,0,2016-10-12,BUICK
387,General Motors LLC,No,Yes,0,2016-08-23,BUICK
388,General Motors LLC,No,Yes,0,2017-12-06,BUICK
389,General Motors LLC,Yes,No,2,2016-08-19,BUICK
390,General Motors LLC,Yes,No,2,2017-11-08,CADILLAC
391,General Motors LLC,Yes,No,1,2017-04-15,CADILLAC
392,General Motors LLC,Yes,No,1,2016-12-15,CADILLAC
393,General Motors LLC,Yes,No,0,2017-02-06,CADILLAC
394,General Motors LLC,Yes,No,1,2016-02-05,CHEVROLET
395,General Motors LLC,Yes,No,1,2016-06-08,CHEVROLET
396,General Motors LLC,Yes,No,1,2016-06-23,CHEVROLET
397,General Motors LLC,Yes,No,1,2017-11-28,CHEVROLET
398,General Motors LLC,Yes,No,0,2017-03-16,CHEVROLET
399,General Motors LLC,Yes,No,1,2016-11-18,CHEVROLET
400,General Motors LLC,No,Yes,0,2016-07-16,CHEVROLET
